Course ID,Term,Session,Section,Subject,Catalog,Descr,Facil ID,Mtg Start,Mtg End,Mon,Tues,Wed,Thurs,Fri,Sat,Sun
009680,1171,1,001,GERO,4670,PROGRAMS AND SERVICES,ALLWINE312,4:15:00 PM,6:55:00 PM,N,Y,N,N,N,N,N
012531,1171,1,001,CMST,4190,COMPUTER-MEDIATED COMMUNICATN,ARTSCI110,2:30:00 PM,5:10:00 PM,N,Y,N,N,N,N,N
009892,1171,1,003,HIST,4910,TOPICS IN HISTORY,ARTSCI217,6:00:00 PM,8:40:00 PM,N,N,N,Y,N,N,N
009892,1171,1,001,HIST,4910,TOPICS IN HISTORY,ROSKNS302,1:00:00 PM,2:15:00 PM,N,Y,N,Y,N,N,N
009892,1171,1,002,HIST,4910,TOPICS IN HISTORY,ARTSCI306,1:00:00 PM,2:15:00 PM,Y,N,Y,N,N,N,N
012508,1171,1,851,CMST,1110,PUBLIC SPEAKING FUNDS,TOTLONLINE,,,N,N,N,N,N,N,N
007940,1171,1,001,CHEM,4660,BIOCHEMISTRY II,DURHAM116,8:00:00 AM,8:50:00 AM,Y,N,Y,N,Y,N,N
010156,1171,1,096,HONR,3000,HONORS COLLOQUIUM,KAYSER208C,10:00:00 AM,11:15:00 AM,N,Y,N,Y,N,N,N
009472,1171,1,099,GEOG,1020,INTRODUCTN TO HUMAN GEOGRAPHY,KAYSER208C,10:00:00 AM,11:15:00 AM,Y,N,Y,N,N,N,N
058477,1171,1,001,NEUR,4890,"GENES, BRAIN, AND BEHAVIOR",ALLWINE314,11:30:00 AM,12:45:00 PM,N,Y,N,Y,N,N,N
011916,1178,1,864,PSYC,1010,INTRODUCTION TO PSYCHOLOGY I,PARTONLINE,,,N,N,N,N,N,N,N
011916,1178,1,865,PSYC,1010,INTRODUCTION TO PSYCHOLOGY I,PARTONLINE,,,N,N,N,N,N,N,N
011916,1178,1,863,PSYC,1010,INTRODUCTION TO PSYCHOLOGY I,PARTONLINE,,,N,N,N,N,N,N,N
012343,1178,1,003,SOWK,4410,GEN SOWK PRACTICUM  I,CPACS222,8:30:00 AM,11:10:00 AM,N,N,N,N,Y,N,N
011686,1171,1,005,PHIL,1010,INTRODUCTION TO PHILOSOPHY,ARTSCI378,1:00:00 PM,2:15:00 PM,Y,N,Y,N,N,N,N
012085,1171,1,852,RELI,1010,INTRODUCTN TO WORLD RELIGIONS,TOTLONLINE,,,N,N,N,N,N,N,N
012091,1171,1,001,RELI,2300,INTRODUCTION TO JEWISH ETHICS,ARTSCI148,2:30:00 PM,5:10:00 PM,Y,N,N,N,N,N,N
012225,1171,1,851,SOC,2800,MAJOR SOCIAL ISSUES,TOTLONLINE,,,N,N,N,N,N,N,N
012454,1171,1,003,SPAN,2110,INTERMEDIATE SPANISH,DURHAM304,10:00:00 AM,10:50:00 AM,Y,N,Y,N,Y,N,N
055285,1171,1,010,SPED,1124,ASL II LAB,ROSKNS509,8:00:00 AM,8:50:00 AM,N,Y,N,N,N,N,N
058289,1171,1,003,SPED,1500,INTRO TO SPECIAL EDUCATION,ROSKNS401,2:30:00 PM,3:45:00 PM,Y,N,Y,N,N,N,N
058604,1171,1,806,TED,2400,PLAN FOR EFFECTIVE TEACHING,OFFCAMPUS,,,N,N,N,N,N,N,N
008767,1171,1,001,THEA,4320,ADV ACTING:GREEKS TO RESTORATN,FINEART333,1:00:00 PM,3:50:00 PM,N,Y,N,Y,N,N,N
050042,1171,1,860,WGST,2020,INTRO WGST: HUMANITIES,ROSKNS102,2:30:00 PM,3:45:00 PM,N,Y,N,N,N,N,N
011231,1171,1,001,MUS, 415F,FLUTE,STRAUSSTBA,,,N,N,N,N,N,N,N
011229,1171,1,002,MUS, 415D,DOUBLE BASS,STRAUSSTBA,,,N,N,N,N,N,N,N
011230,1171,1,001,MUS, 415E,EUPHONIUM,STRAUSSTBA,,,N,N,N,N,N,N,N
011232,1171,1,001,MUS, 415G,FRENCH HORN,STRAUSSTBA,,,N,N,N,N,N,N,N
011233,1171,1,001,MUS, 415H,GUITAR,STRAUSSTBA,,,N,N,N,N,N,N,N
011234,1171,1,001,MUS, 415I,HARP,STRAUSSTBA,,,Y,N,N,N,N,N,N
011235,1171,1,001,MUS, 415J,OBOE,STRAUSSTBA,,,N,N,N,N,N,N,N
011237,1171,1,001,MUS, 415L,PIANO,STRAUSSTBA,,,N,N,N,N,N,N,N
011238,1171,1,001,MUS, 415M,PIPE ORGAN,STRAUSSTBA,,,N,N,N,N,N,N,N
011239,1171,1,001,MUS, 415N,SAXOPHONE,STRAUSSTBA,,,N,N,N,N,N,N,N
011240,1171,1,001,MUS, 415O,TROMBONE,STRAUSSTBA,,,N,N,N,N,N,N,N
011241,1171,1,001,MUS, 415P,TRUMPET,STRAUSSTBA,,,N,N,N,N,N,N,N
011242,1171,1,001,MUS, 415Q,TUBA,STRAUSSTBA,,,N,N,N,N,N,N,N
011243,1171,1,001,MUS, 415R,VIOLA,STRAUSSTBA,,,N,N,N,N,N,N,N
055923,1171,1,001,HED,4650,GLOBAL HEALTH,HPER211,11:30:00 AM,12:45:00 PM,N,Y,N,Y,N,N,N
011631,1171,1,002,PEA, 111E,SELF-DEFENSE,HPER124,9:00:00 AM,9:50:00 AM,Y,N,Y,N,N,N,N
011645,1171,1,003,PEA, 111S,RELAXATION TECHNIQUES,HPER239,5:30:00 PM,7:10:00 PM,Y,N,N,N,N,N,N
011646,1171,1,005,PEA, 111T,YOGA I,HPER239,3:30:00 PM,5:10:00 PM,Y,N,N,N,N,N,N
011650,1171,1,001,PEA, 111X,BASKETBALL,HPER201,1:00:00 PM,1:50:00 PM,N,Y,N,Y,N,N,N
055821,1171,1,001,PEA, 112Q,HIP HOP,HPER228,4:00:00 PM,4:50:00 PM,Y,N,Y,N,N,N,N
008040,1171,1,001,CIVE, 385,PROF PRACT & MGMT IN CIVIL ENG,PKIEWIT160,9:00:00 AM,10:15:00 AM,N,Y,N,Y,N,N,N
056139,1171,1,001,ART,3130,GRAPHIC DESIGN 1,FINEART220,8:30:00 AM,11:15:00 AM,N,Y,N,Y,N,N,N
056139,1171,1,002,ART,3130,GRAPHIC DESIGN 1,FINEART220,3:00:00 PM,5:45:00 PM,Y,N,Y,N,N,N,N
056141,1171,1,001,ART,4150,GRAPHIC DESIGN 2,FINEART220,6:00:00 PM,8:45:00 PM,Y,N,Y,N,N,N,N
056142,1171,1,001,ART,4160,GRAPHIC DESIGN 3,FINEART220,9:00:00 AM,11:45:00 AM,Y,N,Y,N,N,N,N
056143,1171,1,001,ART,4170,GRAPHIC DESIGN STUDIO,FINEART220,2:30:00 PM,5:15:00 PM,N,Y,N,Y,N,N,N
010756,1171,1,003,MATH,1960,CALCULUS II,DURHAM254,10:15:00 AM,11:20:00 AM,Y,Y,Y,Y,N,N,N
010556,1171,1,001,ISQA,3910,INTRO TO PROJECT MANAGEMENT,PKIEWIT161,12:00:00 PM,1:15:00 PM,Y,N,Y,N,N,N,N
011398,1171,1,001,PA,3500,NONPROFIT ORGS & MGMT,CPACS125,5:30:00 PM,8:10:00 PM,N,N,Y,N,N,N,N
012774,1171,1,001,TED,3550,SED MANAGEMENT,ROSKNS302,9:00:00 AM,10:15:00 AM,Y,N,Y,N,N,N,N
012808,1171,1,860,TED,2360,CHILDREN'S LITERATURE,ROSKNS305,8:30:00 AM,11:30:00 AM,N,N,N,N,N,Y,N
007891,1171,1,005,CHEM,1184,GENERAL CHEMISTRY I LABORATORY,DURHAM305,8:00:00 AM,8:50:00 AM,N,N,N,Y,N,N,N
007891,1171,1,005,CHEM,1184,GENERAL CHEMISTRY I LABORATORY,DURHAM318,8:50:00 AM,11:20:00 AM,N,N,N,Y,N,N,N
008227,1171,1,005,CRCJ,1010,SURVEY OF CRIMINAL JUSTICE,CPACS222,8:30:00 AM,9:45:00 AM,N,Y,N,Y,N,N,N
007773,1171,1,003,CEEN,1060,MICROPROCESSOR APPL,PKIEWIT311,1:30:00 PM,4:20:00 PM,Y,N,N,N,N,N,N
007773,1171,1,004,CEEN,1060,MICROPROCESSOR APPL,PKIEWIT311,1:30:00 PM,4:20:00 PM,N,Y,N,N,N,N,N
011921,1171,1,002,PSYC,3140,MTHDS OF PSYCHOLOGICAL INQUIRY,ARTSCI392,9:00:00 AM,9:50:00 AM,Y,N,Y,N,Y,N,N
009476,1171,1,001,GEOG,1090,INTRO TO GEOSPATIAL SCIENCES,DURHAM294,4:00:00 PM,5:15:00 PM,Y,N,Y,N,N,N,N
010807,1171,1,001,MATH,4900,INDEPENDENT STUDIES,TBA,,,N,N,N,N,N,N,N
056198,1171,1,001,ITIN,4990,ITIN CAPSTONE,PKIEWIT269,1:30:00 PM,2:45:00 PM,N,Y,N,Y,N,N,N
056196,1171,1,001,ITIN,1110,INTRO TO IT INNOVATION,PKIEWIT269,1:30:00 PM,2:45:00 PM,Y,N,Y,N,N,N,N
050086,1171,1,001,WRWS,2300,BASIC CREATIVE NONFICTN STUDIO,FINEART218,1:00:00 PM,3:30:00 PM,N,Y,N,N,N,N,N
011223,1171,1,001,MUS,4100,CONCERT CHOIR,STRAUSS105,12:00:00 PM,12:50:00 PM,Y,N,Y,N,Y,N,N
007135,1171,1,001,ANTH,2000,ETHNOGRAPHY,TBA,,,N,N,N,N,N,N,N
011139,1171,1,001,MUS, 215K,PERCUSSION,STRAUSSTBA,,,N,N,N,N,N,N,N
011139,1171,1,002,MUS, 215K,PERCUSSION,STRAUSSTBA,,,N,N,N,N,N,N,N
011186,1171,1,001,MUS, 315K,PERCUSSION,STRAUSSTBA,,,N,N,N,N,N,N,N
011186,1171,1,002,MUS, 315K,PERCUSSION,STRAUSSTBA,,,N,N,N,N,N,N,N
011236,1171,1,001,MUS, 415K,PERCUSSION,STRAUSSTBA,,,N,N,N,N,N,N,N
011236,1171,1,002,MUS, 415K,PERCUSSION,STRAUSSTBA,,,N,N,N,N,N,N,N
012513,1171,1,001,CMST,2410,SMALL GROUP,ARTSCI188,9:00:00 AM,9:50:00 AM,Y,N,Y,N,Y,N,N
012513,1171,1,002,CMST,2410,SMALL GROUP,ARTSCI211,6:00:00 PM,8:40:00 PM,N,N,N,Y,N,N,N
057325,1171,1,001,CMST,3100,PRESENTATION/INTERVIEW ANXIETY,ARTSCI188,11:30:00 AM,12:45:00 PM,N,Y,N,Y,N,N,N
012519,1171,1,001,CMST,3160,INTERCOLLEG FORENSIC ACTVTS,ARTSCI148,3:00:00 PM,8:00:00 PM,N,N,Y,N,N,N,N
012520,1171,1,001,CMST,3520,INTERVIEWING,ARTSCI143,4:00:00 PM,5:15:00 PM,N,Y,N,Y,N,N,N
012517,1171,1,001,CMST,3140,ADVANCED PUBLIC SPEAKING,ARTSCI188,1:00:00 PM,2:15:00 PM,Y,N,Y,N,N,N,N
012527,1171,1,860,CMST,4150,CORPORATE TRAINING & DEV,ARTSCI188,2:30:00 PM,3:45:00 PM,N,Y,N,Y,N,N,N
012540,1171,1,001,CMST,4800,CONFLICT MEDIATION,ARTSCI214,4:00:00 PM,5:15:00 PM,N,Y,N,Y,N,N,N
012541,1171,1,001,CMST,4940,SPCH COMM  CAPSTONE SEMINAR,ARTSCI215,1:00:00 PM,2:15:00 PM,Y,N,Y,N,N,N,N
011806,1171,1,005,PSCI,1000,INTRO TO POLITICAL SCIENCE,ARTSCI310,6:00:00 PM,8:40:00 PM,N,N,Y,N,N,N,N
011815,1171,1,001,PSCI,2500,INTRO TO COMPARATIVE POLITICS,ROSKNS010A,10:00:00 AM,11:15:00 AM,Y,N,Y,N,N,N,N
055738,1171,O78,001,BIOL,4600,GIS APPLICATIONS FOR ENVIRON,ALLWINE403,2:00:00 PM,4:50:00 PM,Y,N,Y,N,N,N,N
011864,1171,1,850,PSCI,4910,POLITICAL SCIENCE INTERNSHIP,TOTLONLINE,,,N,N,N,N,N,N,N
050089,1171,1,001,WRWS,3100,FICTION STUDIO,FINEART201,10:00:00 AM,12:30:00 PM,N,N,Y,N,N,N,N
007663,1171,1,001,JMC,2320,VIDEO FIELD PRODUCTION,CPACS104,1:00:00 PM,2:50:00 PM,N,Y,N,Y,N,N,N
007664,1171,1,001,JMC,2370,RADIO/AUDIO I,CPACS104,10:00:00 AM,11:50:00 AM,Y,N,Y,N,N,N,N
007665,1171,1,001,JMC,3030,ELECTRONIC NEWS WRITING,ARTSCI110,11:30:00 AM,12:45:00 PM,N,Y,N,Y,N,N,N
007666,1171,1,001,JMC,3320,FIELD AND STUDIO PRODUCTION,CPACS001E,10:00:00 AM,11:50:00 AM,Y,N,Y,N,N,N,N
007667,1171,1,001,JMC,3330,TELEVISION NEWS VIDEO,CPACS104,6:00:00 PM,9:40:00 PM,N,Y,N,N,N,N,N
007668,1171,1,001,JMC,3370,RADIO/AUDIO II,CPACS104,10:00:00 AM,11:15:00 AM,N,Y,N,Y,N,N,N
057387,1171,1,001,JMC,2000,INFO LITERACY FOR COMM PROF,ARTSCI100,8:30:00 AM,9:45:00 AM,Y,N,Y,N,N,N,N
009673,1175,1,850,GERO,4460,PSYCH OF ADULT DEVELOPMENT,TOTLONLINE,,,N,N,N,N,N,N,N
007594,1171,1,851,BLST,2010,INTRODUCTION TO BLACK STUDIES,TOTLONLINE,,,N,N,N,N,N,N,N
007003,1171,1,006,ACCT,2020,PRINCIPLES OF ACCOUNTING II,MAMMEL117,3:00:00 PM,4:15:00 PM,Y,N,Y,N,N,N,N
009848,1171,1,003,HIST,1000,WORLD CIVILIZATIONS I,ARTSCI290,11:00:00 AM,11:50:00 AM,Y,N,Y,N,Y,N,N
008404,1171,1,002,COOP,2700,COOPERATIVE EDUCATION,TBA,,,N,N,N,N,N,N,N
008404,1171,1,001,COOP,2700,COOPERATIVE EDUCATION,TBA,,,N,N,N,N,N,N,N
008405,1171,1,001,COOP,3700,COOPERATIVE EDUCATION,TBA,,,N,N,N,N,N,N,N
010416,1175,O4,501,HPER,2400,HED & PE-ELEM SCHOOL TCHR,HPER139,9:00:00 AM,11:25:00 AM,Y,Y,Y,Y,N,N,N
009215,1171,1,001,ENGL,4230,LATINO LITERATURE,ARTSCI216,2:30:00 PM,3:45:00 PM,Y,N,Y,N,N,N,N
011517,1175,6W2,301,PE,2210,GROUP EXERCISE,HPER239,9:00:00 AM,10:40:00 AM,N,Y,N,Y,N,N,N
007631,1171,1,003,BLST,3980,SPCL TOPICS IN BLACK STUDIES,ARTSCI306,5:30:00 PM,8:10:00 PM,N,N,Y,N,N,N,N
009181,1171,1,001,ENGL,2260,BLACK SHORT STORY,ARTSCI392,11:30:00 AM,12:45:00 PM,N,Y,N,Y,N,N,N
050055,1171,1,001,WGST,4010,SENIOR SEMINAR,ARTSCI311,11:30:00 AM,2:10:00 PM,N,N,N,Y,N,N,N
007662,1171,1,001,JMC,1050,FILM HISTORY & APPRECIATION,ALLWINE316,7:05:00 PM,9:45:00 PM,N,Y,N,Y,N,N,N
012111,1171,1,850,RELI,3500,SPECIAL TOPICS IN RELIGION,TOTLONLINE,,,N,N,N,N,N,N,N
009603,1171,1,001,GEOL,4540,GEOCHEMISTRY,DURHAM281,10:00:00 AM,11:15:00 AM,Y,N,Y,N,N,N,N
009222,1171,1,001,ENGL,4340,SHAKESPEARE,ARTSCI211,11:30:00 AM,12:45:00 PM,Y,N,Y,N,N,N,N
008602,1171,1,001,CSCI,4980,TOPICS IN COMPUTER SCIENCE,PKIEWIT278,1:30:00 PM,2:45:00 PM,N,Y,N,Y,N,N,N
011244,1171,1,001,MUS, 415S,VIOLIN,STRAUSSTBA,,,N,N,N,N,N,N,N
011245,1171,1,004,MUS, 415T,VOICE,STRAUSSTBA,,,N,N,N,N,N,N,N
011245,1171,1,003,MUS, 415T,VOICE,STRAUSSTBA,,,N,N,N,N,N,N,N
011245,1171,1,002,MUS, 415T,VOICE,STRAUSSTBA,,,N,N,N,N,N,N,N
011245,1171,1,001,MUS, 415T,VOICE,STRAUSSTBA,,,N,N,N,N,N,N,N
011246,1171,1,001,MUS,4160,SYMPHONIC WIND ENSEMBLE,STRAUSS109,1:30:00 PM,2:50:00 PM,Y,N,Y,N,Y,N,N
011247,1171,1,001,MUS,4190,RECITAL,STRAUSSTBA,,,N,N,N,N,N,N,N
011250,1171,1,001,MUS,4290,MUSIC CAPSTONE PROJECT,STRAUSSTBA,,,N,N,N,N,N,N,N
011268,1171,1,001,MUS,4580,MUSIC FROM 1900 - 1945,STRAUSS239,5:00:00 PM,7:40:00 PM,N,Y,N,N,N,N,N
011345,1171,1,001,NAMS,4900,INDEPENDENT STUDY,TBA,,,N,N,N,N,N,N,N
011346,1171,1,001,NAMS,4920,SPEC TOPICS IN NAT AM STUDIES,ARTSCI210,10:00:00 AM,11:15:00 AM,N,Y,N,Y,N,N,N
011353,1171,1,001,NSCI,4960,RESEARCH REPORT,DURHAM304,12:00:00 PM,12:50:00 PM,Y,N,N,N,N,N,N
011388,1171,1,850,PA,1010,INTRODUCTION TO URBAN STUDIES,TOTLONLINE,,,N,N,N,N,N,N,N
011389,1171,1,850,PA,2000,LEADERSHIP & ADMINISTRATION,TOTLONLINE,,,N,N,N,N,N,N,N
011392,1171,1,001,PA,2170,INTRODUCTION TO PUBLIC ADMIN,ALLWINE309,1:00:00 PM,2:15:00 PM,N,Y,N,Y,N,N,N
011392,1171,1,850,PA,2170,INTRODUCTION TO PUBLIC ADMIN,TOTLONLINE,,,N,N,N,N,N,N,N
011398,1171,1,850,PA,3500,NONPROFIT ORGS & MGMT,TOTLONLINE,,,N,N,N,N,N,N,N
011399,1171,1,850,PA,3600,PERSNNL/VOL MGMT IN NONPROFITS,TOTLONLINE,,,N,N,N,N,N,N,N
011422,1171,1,001,PA,4950,INTERNSHIP,TBA,,,N,N,N,N,N,N,N
008067,1171,1,002,CIVE, 441,STEEL DESIGN I,PKIEWIT153,12:00:00 PM,1:15:00 PM,N,Y,N,Y,N,N,N
011187,1171,1,002,MUS, 315L,PIANO,STRAUSSTBA,,,N,N,N,N,N,N,N
008002,1171,1,001,CIST,2500,INTRO TO APPLIED STATS FOR IST,PKIEWIT155,1:30:00 PM,2:45:00 PM,Y,N,Y,N,N,N,N
012775,1171,1,001,TED,3690,LITERACY AND LEARNING,ROSKNS302,10:30:00 AM,11:45:00 AM,Y,N,Y,N,N,N,N
010535,1171,1,851,ISQA,4000,SPECIAL TOPICS IN ISQA,TOTLONLINE,,,N,N,N,N,N,N,N
011917,1171,1,009,PSYC,1020,INTRODUCTION TO PSYCHOLOGY II,ARTSCI401,1:30:00 PM,2:20:00 PM,N,Y,N,Y,N,N,N
056190,1171,1,001,ENGL,4790,ENGL CAREER PREP,ARTSCI196,1:00:00 PM,1:50:00 PM,N,N,N,Y,N,N,N
056084,1171,1,009,INST,1000,UNO - Exchange Semester,,12:00:00 AM,12:00:00 AM,N,N,N,N,N,N,N
056084,1171,1,015,INST,1000,UNO - Exchange Semester,,12:00:00 AM,12:00:00 AM,N,N,N,N,N,N,N
